District,Interval_Start,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month
Bhaktapur,7/22/2014,27.7,85.5,2.940444154,78.00937949,9.008863488,67.44697583,13.23468975,6.008158067,18.28281515,9.398680601,8.884167211,12.65405617,2.148295232,4.6993403,0.435388635,4.263919007,2.166041803,4.154082299,0.568216852,3.586237753,2014,7
Bhaktapur,9/30/2018,27.7,85.5,2.298118162,78.08816193,8.145142232,66.21113786,11.95413567,4.564113786,17.24356674,7.966345733,9.277111597,11.29417943,2.081838074,4.632363239,0.384485777,4.247680525,2.093194748,4.092231947,0.507549234,3.584573304,2018,9
Chitawan,1/1/1981,27.7,84.4,2.346455614,92.216547,9.277238903,48.57934726,21.62680809,8.649562663,27.77947781,16.71805483,11.06163185,21.15213446,2.218120104,4.075685379,0.706553525,3.369164491,2.78287859,4.353100522,0.981018277,3.372238903,1981,1
Chitawan,3/12/1985,27.7,84.4,2.2,92.20486945,9.042571802,46.88421018,22.39516319,8.180561358,28.63634465,17.32469974,11.31154047,22.04414491,2.262552219,4.14328329,0.73383812,3.409412533,2.816272846,4.396468668,1.017310705,3.379229765,1985,3
Chitawan,5/22/1989,27.7,84.4,1.987708877,92.21132507,9.212108355,45.08761097,22.76405352,8.238126632,29.07742167,17.71529373,11.36226501,22.56648172,2.329954308,4.225972585,0.762637076,3.463348564,2.914980418,4.511990862,1.084712794,3.427336815,1989,5
Chitawan,8/1/1993,27.7,84.4,1.678061358,92.20477807,9.120091384,44.52604439,22.68357702,7.89401436,29.07678851,17.59895561,11.47782637,22.45359008,2.31151436,4.27270235,0.721318538,3.551403394,2.875437337,4.516429504,0.989849869,3.526827676,1993,8
Chitawan,10/11/1997,27.7,84.4,1.752937337,92.21761097,9.267682768,45.76627937,22.40705614,7.991840731,28.70656658,17.53907963,11.16738251,22.06849217,2.244830287,4.1470953,0.704092689,3.442865535,2.769118799,4.341318538,0.967447781,3.37401436,1997,10
Chitawan,12/21/2001,27.7,84.4,2.275411227,92.27877937,9.521024804,49.5587859,22.00343342,9.322082245,28.07218016,17.19715405,10.8752611,21.55221932,2.148518277,3.922389034,0.688172324,3.234281984,2.676579634,4.194882507,0.969327676,3.225417755,2001,12
Chitawan,3/2/2006,27.7,84.4,3.454693211,92.23904047,10.58343342,56.00306789,21.92604439,11.08041775,27.51063316,17.4116906,10.09907963,21.4093799,2.04868799,3.721527415,0.652741514,3.06881201,2.560045692,3.99270235,0.913720627,3.078981723,2006,3
Chitawan,5/12/2010,27.7,84.4,3.964321149,92.18749347,11.01017624,58.8760705,21.86657311,11.98584204,27.30935379,17.44543734,9.863916449,21.40142298,2.078479112,3.851573107,0.657695822,3.193707572,2.604164491,4.122062663,0.921116188,3.200894256,2010,5
Chitawan,7/22/2014,27.7,84.4,4.959503592,92.23779882,11.73226649,60.77799477,22.12361855,12.99213586,27.27219464,17.97391901,9.29836708,21.31297191,2.03190725,3.645349445,0.642913129,3.002364468,2.61369693,4.094461137,0.923984324,3.170692358,2014,7
Chitawan,9/30/2018,27.7,84.4,3.967352298,92.39557987,10.96571116,61.58166302,20.85398249,12.2421663,26.1650547,16.71678337,9.448555799,20.04266958,1.954967177,3.553873085,0.593435449,2.960043764,2.512844639,4.029146608,0.835754923,3.193544858,2018,9
Dadeldhura,1/1/1981,29.3,80.6,2.184151436,85.5410705,7.936671018,49.88429504,17.30615535,5.379223238,23.99282637,11.89926893,12.0936423,16.3537859,2.11636423,3.987617493,0.531736292,3.45613577,2.515496084,4.161201044,0.716057441,3.445084856,1981,1
Dadeldhura,3/12/1985,29.3,80.6,1.948466057,85.54443864,7.502637076,45.21206266,18.38061358,4.477513055,25.28409269,12.66067885,12.62325065,17.54498695,2.17464752,4.153178851,0.541194517,3.611964752,2.569164491,4.316070496,0.728204961,3.58785248,1985,3
Dadeldhura,5/22/1989,29.3,80.6,1.499112272,85.55136423,7.829543081,45.35839426,18.67277415,4.975065274,25.54535248,13.12413185,12.42124674,18.12625326,2.184236292,4.25497389,0.506938642,3.748041775,2.563596606,4.369118799,0.691037859,3.678093995,1989,5
Dadeldhura,8/1/1993,29.3,80.6,1.410130548,85.5447389,7.983309399,46.1251436,18.55637728,5.108002611,25.37365535,13.10318538,12.27050261,17.96312663,2.178361619,4.24941906,0.497963446,3.751253264,2.545110966,4.355045692,0.670293734,3.684791123,1993,8
Dadeldhura,10/11/1997,29.3,80.6,1.578681462,85.55389034,7.824960836,45.56175587,18.28974543,4.502167102,25.18561358,12.86856397,12.31684073,17.51251958,2.140509138,4.130992167,0.511194517,3.619804178,2.493746736,4.195626632,0.683250653,3.51214752,1997,10
Dadeldhura,12/21/2001,29.3,80.6,2.202212794,85.60006527,7.95881201,48.94572454,18.00874674,5.458975196,24.59828329,12.72594648,11.8724282,17.05281984,2.095006527,3.945972585,0.520509138,3.425313316,2.477186684,4.09229765,0.697075718,3.395189295,2001,12
Dadeldhura,3/2/2006,29.3,80.6,2.967447781,85.57030026,8.851827676,53.88564621,18.1513577,7.166906005,24.36616188,13.01677546,11.34934073,17.18341384,2.02272846,3.727493473,0.534725849,3.192748042,2.409497389,3.893583551,0.72017624,3.173518277,2006,3
